"","ppt_id","Motives.Feeling","Motives.Exciting","Motives.High","Motives.Fun","Motives.Good","PGSI.Afford","PGSI.Excitement","PGSI.WinBack","PGSI.Borrowed","PGSI.Problem","PGSI.Health","PGSI.Criticised","PGSI.Financial","PGSI.Guilty"
"338","P1493","Never","Sometimes","Never","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","MostTime"
"339","P1602","Sometimes","Sometimes","Never","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"340","P0453","Sometimes","Sometimes","Never","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"341","P1115","Always","Always","Never","Always","Always","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"342","P1444","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"343","P0477","Never","Often","Often","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"344","P0180","Sometimes","Sometimes","Sometimes","Always","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"345","P1130","Often","Often","Often","Often","Often","MostTime","MostTime","MostTime","Never","Never","Never","Never","Never","Sometimes"
"346","P1042","Never","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"347","P0244","Sometimes","Never","Sometimes","Sometimes","Sometimes","Never","MostTime","MostTime","Never","Sometimes","Never","Sometimes","Never","Sometimes"
"348","P0019","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"349","P0811","Often","Always","Never","Often","Sometimes","Never","Never","Sometimes","Never","Never","Never","Sometimes","Never","Sometimes"
"350","P0704","Often","Always","Never","Always","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"351","P0813","Often","Often","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Sometimes","Never","Never"
"352","P1628","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"353","P0190","Never","Never","Never","Never","Never","MostTime","Never","MostTime","Never","Sometimes","Sometimes","MostTime","Never","MostTime"
"354","P1455","Often","Often","Often","Often","Sometimes","Never","Sometimes","Sometimes","Never","Never","Never","Never","Never","Sometimes"
"355","P1077","Always","Always","Always","Always","Always","MostTime","Sometimes","Always","Sometimes","Always","Sometimes","Sometimes","Sometimes","MostTime"
"356","P0045","Often","Often","Often","Often","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never"
"357","P0330","Never","Sometimes","Never","Often","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never"
"358","P0436","Often","Always","Always","Often","Sometimes","Always","Sometimes","Always","Never","Sometimes","Never","Never","Never","MostTime"
"359","P1409","Often","Always","Always","Always","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Never","Sometimes"
"360","P0057","Sometimes","Always","Often","Sometimes","Never","Never","MostTime","Never","Never","Never","Never","Never","Never","MostTime"
"361","P0732","Often","Always","Often","Always","Often","Sometimes","Sometimes","MostTime","Never","Sometimes","Sometimes","Sometimes","Sometimes","MostTime"
"362","P1679","Often","Often","Sometimes","Sometimes","Often","Never","Never","Sometimes","Never","Never","Never","Sometimes","Never","Sometimes"
"363","P0504","Never","Never","Never","Never","Never","Never","Never","Sometimes","Never","Never","MostTime","Never","Never","Sometimes"
"364","P1499","Often","Always","Always","Often","Often","Sometimes","MostTime","Sometimes","Never","Sometimes","Sometimes","Sometimes","Sometimes","MostTime"
"365","P0793","Always","Always","Always","Always","Often","Sometimes","Sometimes","Sometimes","Never","Sometimes","MostTime","Never","Never","Never"
"366","P1370","Sometimes","Often","Often","Always","Sometimes","Never","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never"
"367","P1274","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"368","P1510","Always","Always","Always","Always","Always","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"369","P0337","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","MostTime"
"370","P1698","Often","Often","Often","Often","Often","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","MostTime"
"371","P0393","Never","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"372","P0344","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"373","P1372","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"374","P0358","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"375","P0503","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"376","P0509","Never","Sometimes","Never","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"377","P0549","Often","Often","Often","Often","Sometimes","Never","Never","Sometimes","Never","Sometimes","Sometimes","Never","Never","Never"
"378","P1671","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"379","P0696","Sometimes","Sometimes","Sometimes","Often","Often","Never","Never","Sometimes","Never","MostTime","Never","Never","Never","MostTime"
"380","P1800","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"381","P0446","Never","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"382","P1796","Sometimes","Often","Always","Sometimes","Often","MostTime","MostTime","Always","Never","Sometimes","Sometimes","Sometimes","MostTime","Sometimes"
"383","P0046","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"384","P1533","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Never","Sometimes","Sometimes","Never","Never","Sometimes"
"385","P1284","Never","Sometimes","Never","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never"
"386","P1208","Sometimes","Sometimes","Sometimes","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"387","P0242","Never","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Sometimes","Never","Never","Never"
"388","P0041","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"389","P0184","Often","Always","Often","Often","Sometimes","Never","Sometimes","Sometimes","Never","Sometimes","Never","Sometimes","Never","Never"
"390","P1397","Sometimes","Always","Always","Always","Always","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"391","P0294","Never","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"392","P1578","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"393","P0918","Often","Often","Sometimes","Always","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Sometimes","Never","Sometimes"
"394","P0706","Always","Always","Always","Always","Always","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"395","P0263","Often","Often","Sometimes","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"396","P1154","Sometimes","Often","Never","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"397","P1357","Sometimes","Often","Always","Sometimes","Often","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Sometimes"
"398","P1601","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"399","P1767","Often","Often","Never","Often","Sometimes","Never","Never","Sometimes","Never","Sometimes","Never","Never","Never","Never"
"400","P1403","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"401","P0540","Always","Always","Always","Often","Always","MostTime","MostTime","Always","Always","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes"
"402","P1167","Sometimes","Often","Often","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"403","P0661","Always","Always","Always","Always","Always","Always","Always","Always","Never","Always","Always","Always","Always","Always"
"404","P1425","Sometimes","Sometimes","Never","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"405","P1331","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"406","P0685","Always","Always","Always","Always","Always","MostTime","MostTime","MostTime","Sometimes","Never","Never","Sometimes","Sometimes","Sometimes"
"407","P0140","Often","Always","Always","Sometimes","Sometimes","Sometimes","Sometimes","MostTime","Never","Always","Sometimes","Never","Sometimes","Always"
"408","P1049","Often","Sometimes","Never","Often","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"409","P1472","Never","Never","Sometimes","Sometimes","Never","Never","Never","Sometimes","Never","Never","Sometimes","Never","Never","Sometimes"
"410","P1179","Sometimes","Always","Often","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Sometimes"
"411","P0221","Sometimes","Often","Never","Always","Sometimes","Never","MostTime","Sometimes","Never","Sometimes","Sometimes","Never","Never","Never"
"412","P0889","Often","Sometimes","Often","Sometimes","Never","Never","Never","Sometimes","Never","Never","Sometimes","Sometimes","Never","Sometimes"
"413","P1483","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Sometimes","Never","Never","Sometimes","Never","Never","Never"
"414","P0859","Never","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"415","P0505","Often","Often","Often","Often","Never","Sometimes","MostTime","Sometimes","Never","MostTime","Sometimes","Never","Never","MostTime"
"416","P1168","Sometimes","Often","Often","Always","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Never","Sometimes","Sometimes"
"417","P1024","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"418","P0403","Sometimes","Sometimes","Never","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"419","P1355","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Sometimes","Never","Never","Sometimes","Never","Sometimes","Sometimes"
"420","P0936","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"421","P1252","Always","Always","Often","Never","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"422","P1504","Often","Often","Often","Often","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"423","P1008","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","MostTime","Always","Sometimes","Never","Never","Sometimes","Never","Sometimes"
"424","P0113","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Sometimes","Never","Never"
"425","P1496","Never","Sometimes","Never","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never"
"426","P1211","Sometimes","Often","Never","Always","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Sometimes"
"427","P0476","Sometimes","Often","Often","Often","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"428","P0440","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"429","P1244","Never","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"430","P0796","Often","Often","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"431","P1464","Sometimes","Always","Always","Often","Sometimes","Sometimes","Sometimes","MostTime","Never","Sometimes","Sometimes","Sometimes","Sometimes","Always"
"432","P0920","Often","Often","Always","Sometimes","Never","MostTime","Sometimes","MostTime","Sometimes","MostTime","Always","Sometimes","MostTime","MostTime"
"433","P0275","Sometimes","Often","Often","Often","Often","Never","Sometimes","Never","Never","Sometimes","Sometimes","Never","Never","MostTime"
"434","P1116","Sometimes","Never","Never","Sometimes","Sometimes","Sometimes","Never","Sometimes","Never","Sometimes","Sometimes","MostTime","Sometimes","Sometimes"
"435","P1358","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"436","P0138","Often","Always","Always","Always","Often","MostTime","Sometimes","Always","Never","Sometimes","Sometimes","Sometimes","Never","MostTime"
"437","P0407","Always","Always","Always","Always","Always","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never"
"438","P0567","Sometimes","Often","Often","Often","Often","Never","Never","Never","Never","Sometimes","Never","Sometimes","Never","Sometimes"
"439","P1350","Sometimes","Sometimes","Sometimes","Often","Often","Never","Never","Never","Never","Never","Never","Never","Never","Sometimes"
"440","P0515","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"441","P1799","Always","Always","Always","Always","Always","Never","Never","Never","Never","Sometimes","Sometimes","Sometimes","Never","Sometimes"
"442","P1170","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"443","P1728","Often","Always","Always","Always","Sometimes","Never","Never","Sometimes","Never","Sometimes","Never","Sometimes","Never","Sometimes"
"444","P1095","Sometimes","Always","Sometimes","Always","Sometimes","MostTime","Never","Sometimes","Never","Never","Never","Sometimes","Never","Never"
"445","P1448","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"446","P1017","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"447","P0386","Sometimes","Sometimes","Often","Sometimes","Never","Sometimes","Never","Sometimes","Never","Sometimes","Sometimes","Never","Sometimes","Sometimes"
"448","P0753","Never","Sometimes","Sometimes","Often","Sometimes","Never","Never","Never","Never","Sometimes","Never","Never","Never","Never"
"449","P1488","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"450","P1362","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"451","P0952","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"452","P0118","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"453","P1735","Never","Never","Never","Never","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"454","P1655","Always","Always","Often","Always","Always","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"455","P1281","Sometimes","Often","Sometimes","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"456","P0591","Often","Often","Always","Always","Often","Sometimes","MostTime","Sometimes","Never","Never","Never","Never","Never","Never"
"457","P0596","Never","Sometimes","Never","Never","Never","Never","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never"
"458","P0459","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Sometimes","MostTime","Sometimes","Never","Sometimes"
"459","P1497","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","MostTime","Sometimes","Sometimes","Never","Sometimes","Always","Sometimes","Always","Sometimes"
"460","P0024","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Sometimes"
"461","P1120","Sometimes","Often","Sometimes","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"462","P1544","Sometimes","Often","Often","Often","Often","Sometimes","Sometimes","Always","MostTime","Always","Sometimes","Always","MostTime","MostTime"
"463","P0319","Sometimes","Always","Always","Often","Often","MostTime","Sometimes","Always","MostTime","MostTime","Sometimes","Sometimes","MostTime","MostTime"
"464","P1174","Never","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"465","P0713","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"466","P0841","Sometimes","Often","Sometimes","Always","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"467","P1503","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"468","P0323","Sometimes","Often","Sometimes","Often","Sometimes","Never","Never","Sometimes","Never","Sometimes","Never","Never","Never","Never"
"469","P1768","Never","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Sometimes","Never","Never"
"470","P0910","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"471","P1762","Often","Always","Sometimes","Always","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"472","P0806","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"473","P0149","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"474","P0743","Sometimes","Sometimes","Never","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"475","P0731","Sometimes","Often","Often","Often","Often","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"476","P0993","Often","Always","Always","Always","Always","Never","Sometimes","Never","Never","Never","Never","Never","Never","Sometimes"
"477","P0636","Sometimes","Sometimes","Sometimes","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"478","P0526","Often","Often","Sometimes","Always","Often","Sometimes","Never","Never","Never","Sometimes","Sometimes","Never","Never","Sometimes"
"479","P0978","Never","Never","Never","Never","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"480","P1206","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"481","P0126","Sometimes","Always","Often","Always","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Sometimes"
"482","P0235","Sometimes","Often","Sometimes","Always","Often","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never"
"483","P0432","Sometimes","Sometimes","Never","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"484","P1546","Always","Always","Always","Always","Always","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"485","P0209","Sometimes","Sometimes","Never","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Sometimes"
"486","P0861","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Sometimes"
"487","P1811","Always","Always","Sometimes","Always","Always","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never"
"488","P0491","Always","Always","Always","Always","Always","Sometimes","Never","Sometimes","Never","Sometimes","Sometimes","Never","Sometimes","Sometimes"
"489","P0948","Always","Always","Sometimes","Always","Often","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"490","P0924","Sometimes","Always","Often","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"491","P0497","Often","Often","Often","Sometimes","Sometimes","MostTime","Sometimes","MostTime","Sometimes","MostTime","MostTime","Sometimes","Sometimes","MostTime"
"492","P0612","Sometimes","Sometimes","Sometimes","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"493","P0418","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"494","P0737","Always","Always","Often","Always","Sometimes","Sometimes","Sometimes","MostTime","Never","Sometimes","Sometimes","MostTime","Never","Sometimes"
"495","P1548","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Sometimes","Never","Sometimes"
"496","P0410","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"497","P0897","Never","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"498","P0009","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"499","P0296","Always","Always","Always","Always","Always","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"500","P0536","Sometimes","Sometimes","Often","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"501","P1162","Often","Always","Often","Always","Sometimes","Sometimes","Sometimes","MostTime","Never","Sometimes","Never","Sometimes","Never","Sometimes"
"502","P1329","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"503","P0637","Always","Always","Often","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Sometimes"
"504","P1342","Sometimes","Often","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"505","P0470","Sometimes","Sometimes","Sometimes","Often","Sometimes","Never","Never","Never","Never","Sometimes","Sometimes","Sometimes","Never","Sometimes"
"506","P0289","Sometimes","Often","Never","Often","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"507","P1377","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"508","P1066","Often","Often","Often","Often","Sometimes","Sometimes","MostTime","MostTime","Never","Sometimes","Sometimes","Sometimes","Never","Sometimes"
"509","P1564","Sometimes","Often","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Sometimes"
"510","P1335","Never","Sometimes","Never","Sometimes","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"511","P0399","Often","Always","Sometimes","Often","Often","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"512","P0911","Sometimes","Often","Never","Always","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"513","P1094","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Sometimes","Never","Sometimes","Never","Never","Never","Sometimes"
"514","P1426","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"515","P1192","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"516","P0562","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","MostTime","MostTime","Never","Never","Never","Never","Never","Never"
"517","P0413","Always","Always","Always","Always","Often","Always","Always","Always","Never","Sometimes","Sometimes","MostTime","Sometimes","Always"
"518","P0082","Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"519","P0846","Often","Often","Often","Often","Often","Never","Never","Never","Never","Never","Sometimes","Sometimes","Never","Sometimes"
"520","P1505","Sometimes","Sometimes","Sometimes","Often","Often","MostTime","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Sometimes","Sometimes"
"521","P0888","Often","Often","Often","Often","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes"
"522","P0599","Always","Always","Always","Always","Always","Never","Sometimes","Sometimes","Never","Never","Never","Sometimes","Never","Sometimes"
"523","P0754","Always","Always","Always","Always","Always","MostTime","Sometimes","Sometimes","Sometimes","MostTime","Sometimes","Sometimes","Always","MostTime"
"524","P1486","Often","Often","Often","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"525","P0934","Often","Often","Often","Always","Often","Sometimes","Sometimes","MostTime","Never","Sometimes","Never","Sometimes","Never","MostTime"
"526","P0067","Often","Often","Often","Often","Often","MostTime","MostTime","MostTime","Sometimes","MostTime","MostTime","MostTime","Always","MostTime"
"527","P0170","Never","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"528","P0136","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"529","P1787","Never","Sometimes","Never","Sometimes","Never","Sometimes","Never","Sometimes","Never","Sometimes","Never","Never","Never","Sometimes"
"530","P1060","Sometimes","Sometimes","Never","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"531","P0246","Sometimes","Sometimes","Never","Sometimes","Sometimes","Never","Never","Sometimes","Never","Sometimes","Sometimes","Never","Never","Sometimes"
"532","P0749","Sometimes","Often","Never","Often","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Sometimes"
"533","P0941","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"534","P1818","Sometimes","Often","Often","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"535","P0365","Never","Never","Never","Never","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"536","P0820","Sometimes","Often","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"537","P0130","Often","Often","Never","Often","Often","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"538","P0478","Never","Sometimes","Sometimes","Never","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"539","P0660","Often","Often","Often","Often","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","MostTime","Sometimes","MostTime"
"540","P0890","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"541","P1640","Sometimes","Sometimes","Sometimes","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"542","P0963","Sometimes","Sometimes","Never","Always","Often","Never","Never","Sometimes","Never","Sometimes","Never","Never","Never","Sometimes"
"543","P1461","Always","Often","Often","Always","Often","Never","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never"
"544","P0191","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","MostTime","Never","Never","Never","Never","Never","Never"
"545","P0320","Often","Often","Often","Often","Often","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Sometimes"
"546","P0824","Always","Always","Often","Always","Always","Never","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Never"
"547","P1177","Often","Always","Sometimes","Often","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"548","P0901","Sometimes","Often","Often","Sometimes","Never","MostTime","MostTime","MostTime","Never","MostTime","Sometimes","Sometimes","Sometimes","MostTime"
"549","P0595","Often","Always","Often","Often","Sometimes","MostTime","Sometimes","Never","Never","Never","Sometimes","Never","Never","Never"
"550","P1470","Often","Often","Sometimes","Often","Sometimes","Sometimes","Never","Never","Never","Sometimes","Never","Sometimes","Never","Sometimes"
"551","P0181","Sometimes","Sometimes","Often","Sometimes","Often","Never","Never","Never","Never","Sometimes","Never","Never","Never","Never"
"552","P0990","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Sometimes","Never","Sometimes"
"553","P0040","Often","Often","Often","Always","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"554","P0927","Sometimes","Sometimes","Never","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"555","P0609","Sometimes","Often","Often","Often","Often","Never","Never","Never","Never","Never","Never","Never","Never","Sometimes"
"556","P0947","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"557","P1719","Never","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","MostTime","Never","Never","Never","Never","Never","Never"
"558","P0766","Often","Often","Often","Often","Often","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never"
"559","P0063","Never","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Sometimes","Sometimes","Sometimes","Never","Sometimes"
"560","P1157","Always","Always","Sometimes","Always","Always","Never","Sometimes","MostTime","Never","Never","Never","Never","Never","Sometimes"
"561","P1599","Always","Often","Always","Often","Always","Always","MostTime","Always","MostTime","Always","MostTime","Sometimes","Always","MostTime"
