"","ppt_id","bet_no","bet_time","old_bonus","total_amt_bet","win","new_bonus","average_odds","total_numbers_bet","no_tokens"
"2389","P0902",1,"21:17:14",3,-0.5,0,2.5,1.03,18,1
"2390","P1446",45,"21:17:14",0.1,-0.1,0,0,2.03,12,1
"2391","P0902",2,"21:17:27",2.5,-0.5,1,3,1.03,18,1
"2392","P0694",3,"21:17:35",3.5,-1,1.8,4.3,3.71,14,5
"2393","P1390",6,"21:17:39",3,-1,1.5,3.5,0.53,24,2
"2394","P0902",3,"21:17:39",3,-0.5,1,3.5,1.03,18,1
"2395","P0902",4,"21:17:52",3.5,-0.5,0,3,1.03,18,1
"2396","P1390",7,"21:18:07",3.5,-1,0,2.5,0.78,24,2
"2397","P0902",5,"21:18:11",3,-0.5,0,2.5,1.03,18,1
"2398","P1390",8,"21:18:23",2.5,-1,1,2.5,0.78,24,2
"2399","P0902",6,"21:18:36",2.5,-0.5,1,3,1.03,18,1
"2400","P1390",9,"21:18:41",2.5,-1,0,1.5,0.78,24,2
"2401","P0902",7,"21:18:49",3,-0.5,0,2.5,1.03,18,1
"2402","P1390",10,"21:18:56",1.5,-1,0,0.5,0.78,24,2
"2403","P1390",11,"21:19:16",0.5,-0.5,1,1,1.03,18,1
"2404","P1390",12,"21:19:39",1,-0.5,1,1.5,1.03,18,1
"2405","P1390",13,"21:19:54",1.5,-0.5,1,2,1.03,18,1
"2406","P1390",14,"21:20:20",2,-1,0,1,0.53,27,2
"2407","P1390",15,"21:20:34",1,-0.5,0,0.5,1.03,18,1
"2408","P1390",16,"21:20:48",0.5,-0.5,1,1,1.03,18,1
"2409","P1390",17,"21:21:01",1,-0.5,0,0.5,1.03,18,1
"2410","P1390",18,"21:21:13",0.5,-0.5,1,1,1.03,18,1
"2411","P1390",19,"21:21:30",1,-0.5,0,0.5,1.03,18,1
"2412","P1390",20,"21:21:43",0.5,-0.5,1,1,1.03,18,1
"2413","P1390",21,"21:21:56",1,-0.5,0,0.5,1.03,18,1
"2414","P1390",22,"21:22:07",0.5,-0.5,1,1,1.03,18,1
"2415","P1390",23,"21:22:21",1,-0.5,0,0.5,1.03,18,1
"2416","P1390",24,"21:22:32",0.5,-0.5,0,0,1.03,18,1
"2417","P1039",1,"21:22:38",3,-0.3,0,2.7,1.03,18,3
"2418","P1039",2,"21:22:48",2.7,-0.2,0.4,2.9,1.03,18,2
"2419","P1623",1,"21:22:50",3,-1,0,2,0.78,24,10
"2420","P0770",1,"21:22:57",3,-1,1.8,3.8,2.09,13,10
"2421","P1039",3,"21:23:00",2.9,-0.3,0,2.6,1.03,18,3
"2422","P0770",2,"21:23:19",3.8,-0.8,0.2,3.2,2.17,25,8
"2423","P1039",4,"21:23:21",2.6,-0.3,0,2.3,1.03,18,3
"2424","P1623",2,"21:23:21",2,-1,0.8,1.8,1.59,25,5
"2425","P1039",5,"21:23:35",2.3,-0.6,1.2,2.9,1.03,18,6
"2426","P1623",3,"21:23:45",1.8,-0.8,0.6,1.6,2.1,32,4
"2427","P1039",6,"21:23:55",2.9,-0.3,0,2.6,0.63,26,3
"2428","P0917",1,"21:24:00",3,-0.5,1.5,4,2.03,12,1
"2429","P1623",4,"21:24:03",1.6,-0.6,0.8,1.8,4.58,27,3
"2430","P1039",7,"21:24:10",2.6,-0.3,0.2,2.5,0.53,28,3
"2431","P0917",2,"21:24:13",4,-0.5,0,3.5,2.03,12,1
"2432","P1039",8,"21:24:21",2.5,-0.3,0,2.2,0.63,26,3
"2433","P0917",3,"21:24:24",3.5,-0.5,0,3,2.03,12,1
"2434","P1623",5,"21:24:28",1.8,-0.8,0.4,1.4,2.1,32,4
"2435","P0917",4,"21:24:38",3,-0.5,1.5,4,2.03,12,1
"2436","P0917",5,"21:24:50",4,-0.5,0,3.5,1.03,18,1
"2437","P1623",6,"21:24:56",1.4,-0.4,1,2,0.78,24,2
"2438","P0917",6,"21:25:02",3.5,-0.5,1,4,1.03,18,1
"2439","P1623",7,"21:25:16",2,-0.8,7.2,8.4,2.1,29,4
"2440","P0917",7,"21:25:17",4,-0.4,0,3.6,8.03,4,4
"2441","P0917",8,"21:25:31",3.6,-0.4,0,3.2,8.03,4,4
"2442","P0917",9,"21:25:53",3.2,-0.7,0,2.5,2.03,12,5
"2443","P0917",10,"21:26:05",2.5,-1,3,4.5,2.03,12,1
"2444","P0917",11,"21:26:24",4.5,-0.5,0,4,2.03,12,1
"2445","P0917",12,"21:26:36",4,-0.5,1.5,5,2.03,12,1
"2446","P0240",1,"21:26:40",3,-0.2,0.4,3.2,1.03,18,1
"2447","P0314",1,"21:26:51",3,-0.1,0,2.9,35.03,1,1
"2448","P1665",1,"21:26:47",3,-0.5,0.5,3,3.63,27,5
"2449","P0415",1,"21:26:53",3,-0.2,0,2.8,1.03,18,1
"2450","P0917",13,"21:26:55",5,-0.4,0,4.6,8.03,4,4
"2451","P0484",1,"21:27:01",3,-1,0,2,1.01,19,5
"2452","P0415",2,"21:27:05",2.8,-0.2,0.4,3,1.03,18,1
"2453","P0917",14,"21:27:07",4.6,-0.1,0.9,5.4,8.03,4,1
"2454","P0240",2,"21:27:13",3.2,-0.2,0.6,3.6,2.03,12,1
"2455","P0484",2,"21:27:14",2,-1,1,2,0.03,36,5
"2456","P0415",3,"21:27:18",3,-0.2,0,2.8,1.03,18,1
"2457","P0308",1,"21:27:21",3,-0.4,0.8,3.4,1.03,18,4
"2458","P0314",2,"21:27:24",2.9,-0.4,0.6,3.1,1.03,20,2
"2459","P0415",4,"21:27:29",2.8,-0.2,0,2.6,1.03,18,1
"2460","P0917",15,"21:27:30",5.4,-0.2,0,5.2,1.03,18,2
"2461","P0484",3,"21:27:31",2,-1,0,1,1.19,18,5
"2462","P0415",5,"21:27:39",2.6,-0.2,0.4,2.8,1.03,18,1
"2463","P0917",16,"21:27:43",5.2,-0.2,0.4,5.4,1.03,18,1
"2464","P0484",4,"21:27:51",1,-1,1.8,1.8,1.19,18,5
"2465","P0240",3,"21:27:57",3.6,-0.2,0.4,3.8,0.53,27,2
"2466","P0917",17,"21:27:59",5.4,-0.1,0,5.3,2.03,12,1
"2467","P1529",1,"21:28:04",3,-0.5,0,2.5,0.28,33,5
"2468","P0917",18,"21:28:11",5.3,-0.1,0.3,5.5,2.03,12,1
"2469","P0240",4,"21:28:25",3.8,-0.5,1.5,4.8,2.03,12,1
"2470","P0917",19,"21:28:31",5.5,-0.5,0,5,2.03,12,1
"2471","P0240",5,"21:28:43",4.8,-0.5,0,4.3,2.03,12,1
"2472","P0917",20,"21:28:43",5,-0.5,0,4.5,2.03,12,1
"2473","P0917",21,"21:28:54",4.5,-0.5,1.5,5.5,2.03,12,1
"2474","P0223",1,"21:28:56",3,-0.2,0,2.8,1.03,18,1
"2475","P1529",2,"21:28:56",2.5,-0.4,0.5,2.6,0.29,31,4
"2476","P0240",6,"21:29:02",4.3,-0.5,1.5,5.3,2.03,12,1
"2477","P0415",6,"21:29:04",2.8,-0.2,0,2.6,1.03,18,1
"2478","P0223",2,"21:29:08",2.8,-0.2,0,2.6,1.03,18,1
"2479","P0917",22,"21:29:10",5.5,-1,2,6.5,1.03,18,1
"2480","P1529",3,"21:29:18",2.6,-0.1,0,2.5,1.03,18,1
"2481","P0223",3,"21:29:19",2.6,-0.1,0.2,2.7,1.03,18,1
"2482","P0415",7,"21:29:22",2.6,-0.5,1,3.1,1.03,18,1
"2483","P0917",23,"21:29:30",6.5,-0.1,0,6.4,8.03,4,1
"2484","P0223",4,"21:29:32",2.7,-0.2,0.4,2.9,1.03,18,1
"2485","P0415",8,"21:29:33",3.1,-0.2,0,2.9,1.03,18,1
"2486","P0982",1,"21:29:39",3,-0.1,0.2,3.1,1.03,18,1
"2487","P0223",5,"21:29:43",2.9,-0.2,0.4,3.1,1.03,18,1
"2488","P0415",9,"21:29:44",2.9,-0.2,0,2.7,1.03,18,1
"2489","P0917",24,"21:29:49",6.4,-0.1,0,6.3,8.03,4,1
"2490","P0223",6,"21:29:56",3.1,-0.1,0.2,3.2,1.03,18,1
"2491","P0415",10,"21:29:57",2.7,-0.2,0,2.5,1.03,18,1
"2492","P0917",25,"21:30:02",6.3,-0.3,0,6,2.03,12,3
"2493","P0223",7,"21:30:08",3.2,-0.1,0,3.1,1.03,18,1
"2494","P0917",26,"21:30:14",6,-0.5,0,5.5,2.03,12,1
"2495","P0223",8,"21:30:19",3.1,-0.1,0.2,3.2,1.03,18,1
"2496","P0415",11,"21:30:21",2.5,-0.2,0.4,2.7,1.03,18,1
"2497","P0679",1,"21:30:12",3,-0.4,0,2.6,1.03,18,2
"2498","P0917",27,"21:30:25",5.5,-0.5,0,5,2.03,12,1
"2499","P0223",9,"21:30:29",3.2,-0.1,0.2,3.3,1.03,18,1
"2500","P0434",1,"21:30:33",3,-0.2,0.4,3.2,1.03,18,2
"2501","P0415",12,"21:30:32",2.7,-0.2,0,2.5,1.03,18,1
"2502","P0679",2,"21:30:24",2.6,-0.6,1.2,3.2,1.03,18,3
"2503","P0917",28,"21:30:37",5,-1,0,4,2.03,12,1
"2504","P0250",1,"21:30:46",3,-1,0,2,17.03,2,2
"2505","P0223",10,"21:30:40",3.3,-0.1,0,3.2,1.03,18,1
"2506","P0415",13,"21:30:42",2.5,-0.2,0.4,2.7,1.03,18,1
"2507","P0679",3,"21:30:36",3.2,-0.2,0,3,35.03,1,1
"2508","P0434",2,"21:30:50",3.2,-0.3,0.3,3.2,0.03,36,3
"2509","P0917",29,"21:30:48",4,-1,0,3,2.03,12,1
"2510","P0223",11,"21:30:53",3.2,-0.1,0,3.1,1.03,18,1
"2511","P0917",30,"21:30:59",3,-1,3,5,2.03,12,1
"2512","P0679",4,"21:30:50",3,-1,2,4,1.03,18,5
"2513","P0223",12,"21:31:04",3.1,-0.1,0,3,1.03,18,1
"2514","P0415",14,"21:31:07",2.7,-0.5,1,3.2,1.03,18,1
"2515","P0250",2,"21:31:15",2,-1,2,3,1.03,18,2
"2516","P0679",5,"21:31:02",4,-0.4,0,3.6,2.03,12,2
"2517","P0415",15,"21:31:19",3.2,-0.2,0,3,1.03,18,1
"2518","P0434",3,"21:31:23",3.2,-0.2,0,3,1.03,18,1
"2519","P0679",6,"21:31:13",3.6,-0.4,1.2,4.4,2.03,12,2
"2520","P0415",16,"21:31:30",3,-0.2,0,2.8,1.03,18,1
"2521","P0679",7,"21:31:23",4.4,-0.2,0,4.2,35.03,1,1
"2522","P0415",17,"21:31:40",2.8,-0.2,0.4,3,1.03,18,1
"2523","P0679",8,"21:31:34",4.2,-0.2,0,4,35.03,1,1
"2524","P0250",3,"21:31:55",3,-1,0,2,1.03,18,1
"2525","P0415",18,"21:31:50",3,-0.5,1,3.5,1.03,18,1
"2526","P0415",19,"21:32:01",3.5,-0.5,1,4,1.03,18,1
"2527","P0679",9,"21:31:52",4,-0.2,0,3.8,1.03,18,1
"2528","P0679",10,"21:32:07",3.8,-0.4,0,3.4,17.03,2,2
"2529","P0415",20,"21:32:22",4,-0.5,1,4.5,1.03,18,1
"2530","P0415",21,"21:32:53",4.5,-0.5,0,4,1.03,18,1
"2531","P0250",4,"21:33:06",2,-1,0,1,17.03,2,2
"2532","P0415",22,"21:33:04",4,-0.5,1,4.5,1.03,18,1
"2533","P0415",23,"21:33:18",4.5,-0.5,0,4,1.03,18,1
"2534","P0250",5,"21:33:50",1,-0.5,0,0.5,1.03,18,1
"2535","P0804",1,"21:34:35",3,-1,0,2,1.03,18,1
"2536","P0804",2,"21:34:52",2,-1,2,3,1.03,18,1
"2537","P0804",3,"21:35:07",3,-1,0,2,1.03,18,1
"2538","P0777",1,"11:31:57",3,-0.5,1,3.5,1.03,18,1
"2539","P0777",2,"11:32:11",3.5,-0.5,1,4,1.03,18,1
"2540","P0692",1,"11:35:29",3,-1,3.6,5.6,4.07,8,7
"2541","P1014",1,"11:39:34",3,-0.5,0,2.5,1.03,18,1
"2542","P1014",2,"11:39:47",2.5,-0.5,1,3,1.03,18,1
"2543","P1014",3,"11:40:01",3,-0.5,0,2.5,1.03,18,1
"2544","P1014",4,"11:40:13",2.5,-0.5,1,3,1.03,18,1
"2545","P1014",5,"11:40:25",3,-0.5,1,3.5,1.03,18,1
"2546","P1014",6,"11:40:40",3.5,-0.5,1,4,1.03,18,1
"2547","P1014",7,"11:40:52",4,-1,2,5,1.03,18,1
"2548","P1014",8,"11:41:07",5,-1,2,6,1.03,18,1
"2549","P1014",9,"11:41:23",6,-1,2,7,1.03,18,1
"2550","P1014",10,"11:41:46",7,-1,0,6,1.03,18,1
"2551","P1014",11,"11:41:58",6,-1,0,5,1.03,18,1
"2552","P0714",1,"11:44:48",3,-1,0,2,1.03,18,1
"2553","P0714",2,"11:44:59",2,-1,0,1,1.03,18,1
"2554","P0714",3,"11:45:09",1,-1,0,0,1.03,18,1
"2555","P1493",1,"11:47:24",3,-1,1.8,3.8,0.83,20,10
"2556","P0238",1,"11:48:02",3,-0.5,0,2.5,1.03,18,1
"2557","P1493",2,"11:48:06",3.8,-1,0,2.8,0.83,20,10
"2558","P0238",2,"11:48:13",2.5,-0.5,0,2,1.03,18,1
"2559","P0238",3,"11:48:26",2,-0.5,1,2.5,1.03,18,1
"2560","P0238",4,"11:48:37",2.5,-0.5,0,2,1.03,18,1
"2561","P0238",5,"11:48:49",2,-0.5,0,1.5,1.03,18,1
"2562","P1493",3,"11:48:49",2.8,-0.6,0.4,2.6,0.25,33,6
"2563","P0238",6,"11:49:01",1.5,-0.5,0,1,1.03,18,1
"2564","P0238",7,"11:49:11",1,-1,2,2,1.03,18,2
"2565","P0238",8,"11:49:24",2,-1,2,3,1.03,18,2
"2566","P1493",4,"11:49:31",2.6,-0.9,0.9,2.6,0.34,33,9
"2567","P0238",9,"11:49:51",3,-1,2,4,1.03,18,1
"2568","P0238",10,"11:50:04",4,-1,2,5,1.03,18,1
"2569","P0453",1,"11:50:56",3,-0.4,0.4,3,0.03,36,2
"2570","P1602",1,"11:50:56",3,-0.5,0,2.5,1.03,18,1
"2571","P1602",2,"11:51:13",2.5,-0.5,1,3,1.03,18,1
"2572","P0453",2,"11:51:14",3,-0.6,0.4,2.8,0.14,36,3
"2573","P1602",3,"11:51:29",3,-0.1,0,2.9,1.03,18,1
"2574","P0453",3,"11:51:30",2.8,-1,0.4,2.2,0.39,36,5
"2575","P1602",4,"11:51:41",2.9,-0.2,0,2.7,1.03,18,1
"2576","P0453",4,"11:51:50",2.2,-1,2,3.2,1.03,18,5
"2577","P1602",5,"11:51:55",2.7,-0.5,0,2.2,1.03,18,1
"2578","P0453",5,"11:52:06",3.2,-0.4,0.4,3.2,0.03,36,2
"2579","P1602",6,"11:52:09",2.2,-0.2,0.4,2.4,1.03,18,1
"2580","P0477",1,"11:52:16",3,-0.1,0,2.9,1.03,18,1
"2581","P0453",6,"11:52:19",3.2,-0.6,0.4,3,0.14,36,3
"2582","P1602",7,"11:52:24",2.4,-0.2,0.4,2.6,1.03,18,1
"2583","P0477",2,"11:52:29",2.9,-0.2,0.4,3.1,1.03,18,2
"2584","P0453",7,"11:52:36",3,-1,1.6,3.6,0.39,36,5
"2585","P1602",8,"11:52:38",2.6,-0.5,0,2.1,1.03,18,1
"2586","P0453",8,"11:52:49",3.6,-0.6,0.8,3.8,0.14,36,3
"2587","P1602",9,"11:52:50",2.1,-0.1,0.2,2.2,1.03,18,1
"2588","P0453",9,"11:53:01",3.8,-0.6,0.4,3.6,0.14,36,3
"2589","P1602",10,"11:53:03",2.2,-0.2,0.4,2.4,1.03,18,1
"2590","P1602",11,"11:53:16",2.4,-0.2,0,2.2,1.03,18,1
"2591","P0477",3,"11:53:15",3.1,-0.2,0,2.9,0.78,24,2
"2592","P0453",10,"11:53:18",3.6,-0.6,0.8,3.8,0.14,36,3
"2593","P1602",12,"11:53:28",2.2,-0.2,0,2,1.03,18,1
"2594","P0477",4,"11:53:28",2.9,-0.2,0,2.7,0.78,24,2
"2595","P0453",11,"11:53:30",3.8,-0.6,0.8,4,0.14,36,3
"2596","P0477",5,"11:53:48",2.7,-0.2,0,2.5,0.78,24,2
"2597","P0453",12,"11:53:50",4,-0.6,0.4,3.8,0.14,36,3
"2598","P0453",13,"11:54:03",3.8,-1,0.4,3.2,0.39,36,5
"2599","P0477",6,"11:54:03",2.5,-0.3,0.2,2.4,1.03,24,3
"2600","P1115",1,"11:54:13",3,-0.1,0,2.9,1.03,18,1
"2601","P0453",14,"11:54:14",3.2,-1,2,4.2,1.03,18,5
"2602","P0477",7,"11:54:18",2.4,-0.1,0.2,2.5,1.03,18,1
"2603","P1115",2,"11:54:25",2.9,-0.2,0,2.7,0.78,24,2
"2604","P0453",15,"11:54:31",4.2,-0.6,0.8,4.4,0.14,36,3
"2605","P0453",16,"11:54:44",4.4,-0.6,0.8,4.6,0.14,36,3
"2606","P1115",3,"11:54:48",2.7,-0.2,0.2,2.7,0.78,24,2
"2607","P0477",8,"11:55:15",2.5,-0.1,0,2.4,1.03,18,1
"2608","P0477",9,"11:55:30",2.4,-0.2,0.4,2.6,1.03,18,2
"2609","P1115",4,"11:55:41",2.7,-0.2,0.2,2.7,0.78,24,2
"2610","P0477",10,"11:55:42",2.6,-0.1,0.2,2.7,1.03,18,1
"2611","P1130",1,"11:55:52",3,-0.2,0.6,3.4,2.03,12,1
"2612","P1115",5,"11:55:53",2.7,-0.1,0,2.6,1.03,18,1
"2613","P0180",1,"11:56:03",3,-0.1,0,2.9,1.03,18,1
"2614","P1115",6,"11:56:07",2.6,-0.3,0,2.3,0.5,31,3
"2615","P1444",1,"11:56:10",3,-0.2,0,2.8,1.03,18,1
"2616","P0477",11,"11:56:11",2.7,-0.1,0.2,2.8,1.03,18,1
"2617","P0180",2,"11:56:17",2.9,-0.1,0.2,3,1.03,18,1
"2618","P1115",7,"11:56:21",2.3,-0.2,0.2,2.3,0.47,28,2
"2619","P1444",2,"11:56:21",2.8,-0.2,0,2.6,1.03,18,1
"2620","P0477",12,"11:56:27",2.8,-0.1,0,2.7,1.03,18,1
"2621","P1444",3,"11:56:33",2.6,-0.2,0.4,2.8,1.03,18,1
"2622","P1130",2,"11:56:40",3.4,-0.5,0,2.9,2.03,12,1
"2623","P0180",3,"11:56:40",3,-0.2,0.4,3.2,0.53,27,2
"2624","P1115",8,"11:56:43",2.3,-0.8,0,1.5,26.64,13,3
"2625","P1444",4,"11:56:45",2.8,-0.2,0,2.6,1.03,18,1
"2626","P1115",9,"11:56:56",1.5,-1,0,0.5,2.03,12,2
"2627","P1444",5,"11:56:56",2.6,-0.2,0,2.4,1.03,18,1
"2628","P0477",13,"11:57:01",2.7,-0.2,0.4,2.9,0.53,27,2
"2629","P0180",4,"11:57:10",3.2,-0.2,0.2,3.2,0.47,28,2
"2630","P1130",3,"11:57:12",2.9,-1,0,1.9,2.03,12,1
"2631","P1115",10,"11:57:08",0.5,-0.5,0,0,2.03,12,1
"2632","P1444",6,"11:57:08",2.4,-0.2,0,2.2,1.03,18,1
"2633","P1444",7,"11:57:19",2.2,-0.2,0,2,1.03,18,1
"2634","P0180",5,"11:57:23",3.2,-0.1,0.2,3.3,1.03,18,1
"2635","P1130",4,"11:57:31",1.9,-0.2,0.4,2.1,1.03,18,1
"2636","P0180",6,"11:57:36",3.3,-0.1,0.2,3.4,1.03,18,1
"2637","P1444",8,"11:57:40",2,-0.2,0,1.8,1.03,18,1
"2638","P0180",7,"11:57:48",3.4,-0.1,0.2,3.5,1.03,18,1
"2639","P1130",5,"11:57:51",2.1,-0.1,0.2,2.2,1.03,18,1
"2640","P1444",9,"11:57:51",1.8,-0.2,0.4,2,1.03,18,1
"2641","P0477",14,"11:57:56",2.9,-0.2,0.2,2.9,0.03,36,2
"2642","P0180",8,"11:58:01",3.5,-0.1,0,3.4,1.03,18,1
"2643","P1130",6,"11:58:08",2.2,-0.5,0,1.7,1.03,18,1
"2644","P1444",10,"11:58:06",2,-0.2,0,1.8,1.03,18,1
"2645","P1444",11,"11:58:19",1.8,-0.2,0,1.6,1.03,18,1
"2646","P0180",9,"11:58:24",3.4,-0.1,0,3.3,1.03,18,1
"2647","P1130",7,"11:58:33",1.7,-0.6,1,2.1,0.36,30,3
"2648","P0477",15,"11:58:28",2.9,-0.1,0.2,3,1.03,18,1
"2649","P1444",12,"11:58:30",1.6,-0.2,0,1.4,1.03,18,1
"2650","P0019",1,"11:58:48",3,-1,0,2,6.23,5,5
"2651","P0180",10,"11:59:02",3.3,-0.1,0.2,3.4,1.03,18,1
"2652","P1130",8,"11:59:15",2.1,-0.6,1,2.5,1.42,19,2
"2653","P0180",11,"11:59:18",3.4,-0.1,0,3.3,1.03,18,1
"2654","P0180",12,"11:59:31",3.3,-0.1,0,3.2,1.03,18,1
"2655","P0019",2,"11:59:32",2,-0.5,1.2,2.7,1.07,24,3
"2656","P1130",9,"11:59:39",2.5,-0.6,1,2.9,0.36,30,3
"2657","P0180",13,"11:59:43",3.2,-0.1,0.2,3.3,1.03,18,1
"2658","P0180",14,"11:59:56",3.3,-0.1,0,3.2,1.03,18,1
"2659","P1130",10,"12:00:01",2.9,-0.7,0,2.2,1.03,18,2
"2660","P1130",11,"12:00:20",2.2,-0.5,0,1.7,1.03,18,1
"2661","P0019",3,"12:00:24",2.7,-0.6,0.3,2.4,0.53,36,4
"2662","P0813",1,"12:00:46",3,-0.1,0,2.9,1.03,18,1
"2663","P0813",2,"12:00:56",2.9,-0.1,0.2,3,1.03,18,1
"2664","P0813",3,"12:01:11",3,-0.2,0,2.8,0.47,28,2
"2665","P1042",1,"12:01:13",3,-0.5,0,2.5,2.03,12,1
"2666","P0813",4,"12:01:21",2.8,-0.2,0,2.6,0.47,28,2
"2667","P0019",4,"12:01:23",2.4,-0.4,0,2,2.03,12,2
"2668","P1042",2,"12:01:27",2.5,-0.5,0,2,2.03,12,1
"2669","P0813",5,"12:01:31",2.6,-0.2,0,2.4,0.47,28,2
"2670","P0813",6,"12:01:41",2.4,-0.2,0.2,2.4,0.47,28,2
"2671","P0813",7,"12:01:52",2.4,-0.2,0.2,2.4,0.47,28,2
"2672","P0019",5,"12:01:56",2,-0.5,0.6,2.1,0.59,24,3
"2673","P0813",8,"12:02:03",2.4,-0.2,0.2,2.4,0.47,28,2
"2674","P0813",9,"12:02:13",2.4,-0.2,0.2,2.4,0.47,28,2
"2675","P0813",10,"12:02:24",2.4,-0.2,0.4,2.6,0.47,28,2
"2676","P1077",1,"12:02:36",3,-0.1,0,2.9,1.03,18,1
"2677","P1077",2,"12:02:48",2.9,-0.2,0.4,3.1,1.03,18,2
"2678","P0244",1,"12:02:50",3,-0.5,1,3.5,1.03,18,1
"2679","P0813",11,"12:02:58",2.6,-0.3,0.4,2.7,0.34,32,3
"2680","P1077",3,"12:02:59",3.1,-0.3,0.6,3.4,1.03,18,3
"2681","P0244",2,"12:03:01",3.5,-0.5,1,4,1.03,18,1
"2682","P0019",6,"12:02:57",2.1,-0.6,0,1.5,4.03,14,5
"2683","P0813",12,"12:03:12",2.7,-0.3,0.6,3,0.34,32,3
"2684","P0244",3,"12:03:11",4,-0.5,1,4.5,1.03,18,1
"2685","P1077",4,"12:03:16",3.4,-0.2,0,3.2,1.03,18,2
"2686","P0244",4,"12:03:21",4.5,-0.5,1,5,1.03,18,1
"2687","P0813",13,"12:03:23",3,-0.3,0.2,2.9,0.34,32,3
"2688","P0244",5,"12:03:32",5,-0.5,1,5.5,1.03,18,1
"2689","P0813",14,"12:03:34",2.9,-0.3,0,2.6,0.34,32,3
"2690","P0244",6,"12:03:42",5.5,-0.5,0,5,1.03,18,1
"2691","P0813",15,"12:03:45",2.6,-0.3,0.6,2.9,0.34,32,3
"2692","P1077",5,"12:03:42",3.2,-0.4,0.8,3.6,1.03,18,4
"2693","P0019",7,"12:03:44",1.5,-0.5,0,1,0.59,24,4
"2694","P0244",7,"12:03:54",5,-0.5,0,4.5,1.03,18,1
"2695","P0813",16,"12:03:56",2.9,-0.3,0.6,3.2,0.34,32,3
"2696","P1455",1,"12:04:00",3,-1,1,3,0.78,24,2
"2697","P0813",17,"12:04:08",3.2,-0.3,0.2,3.1,0.34,32,3
"2698","P0813",18,"12:04:19",3.1,-0.3,0.2,3,0.34,32,3
"2699","P1455",2,"12:04:24",3,-1,2.5,4.5,0.78,24,2
"2700","P0813",19,"12:04:30",3,-0.3,0.4,3.1,0.34,32,3
"2701","P0704",1,"12:04:29",3,-1,0,2,1.03,18,1
"2702","P0813",20,"12:04:40",3.1,-0.3,0.2,3,0.34,32,3
"2703","P0704",2,"12:04:42",2,-1,2,3,1.03,18,1
"2704","P0813",21,"12:04:52",3,-0.1,0,2.9,1.03,18,1
"2705","P1455",3,"12:04:52",4.5,-1,0,3.5,0.78,24,2
"2706","P0704",3,"12:04:54",3,-1,0,2,1.03,18,1
"2707","P1628",1,"12:04:58",3,-0.3,0,2.7,19.03,2,3
"2708","P0813",22,"12:05:02",2.9,-0.1,0.2,3,1.03,18,1
"2709","P0811",1,"12:05:22",3,-1,7.8,9.8,3.41,22,10
"2710","P0057",1,"12:05:00",3,-0.1,0,2.9,1.03,18,1
"2711","P0704",4,"12:05:09",2,-1,2,3,1.03,18,1
"2712","P1455",4,"12:05:09",3.5,-1,1,3.5,0.78,24,2
"2713","P0057",2,"12:05:11",2.9,-0.1,0,2.8,1.03,18,1
"2714","P0811",2,"12:05:33",9.8,-0.2,0.4,10,1.03,18,2
"2715","P0057",3,"12:05:21",2.8,-0.1,0,2.7,1.03,18,1
"2716","P1455",5,"12:05:23",3.5,-1,1,3.5,0.78,24,2
"2717","P0057",4,"12:05:30",2.7,-0.1,0,2.6,1.03,18,1
"2718","P0190",1,"12:05:38",3,-1,0,2,17.57,5,10
"2719","P1455",6,"12:05:38",3.5,-1,1,3.5,0.78,24,2
"2720","P0057",5,"12:05:40",2.6,-0.1,0,2.5,1.03,18,1
"2721","P0057",6,"12:05:50",2.5,-0.1,0.2,2.6,1.03,18,1
"2722","P1455",7,"12:05:50",3.5,-1,0,2.5,1.03,18,1
"2723","P0190",2,"12:05:53",2,-1,0,1,7.31,8,10
"2724","P0057",7,"12:06:00",2.6,-0.1,0,2.5,1.03,18,1
"2725","P1455",8,"12:06:02",2.5,-1,0,1.5,0.78,24,2
"2726","P0190",3,"12:06:08",1,-1,0,0,1.03,18,10
"2727","P0057",8,"12:06:10",2.5,-0.1,0,2.4,1.03,18,1
"2728","P1455",9,"12:06:15",1.5,-1,1,1.5,0.78,24,2
"2729","P0057",9,"12:06:20",2.4,-0.1,0,2.3,1.03,18,1
"2730","P0057",10,"12:06:30",2.3,-0.1,0.2,2.4,1.03,18,1
"2731","P1455",10,"12:06:30",1.5,-1,1,1.5,0.47,28,2
"2732","P0057",11,"12:06:40",2.4,-0.1,0.2,2.5,1.03,18,1
"2733","P1455",11,"12:06:43",1.5,-1,0,0.5,0.58,26,2
"2734","P0057",12,"12:06:52",2.5,-0.1,0,2.4,1.03,18,1
"2735","P1455",12,"12:06:56",0.5,-0.5,0,0,2.03,12,1
"2736","P0045",1,"12:07:00",3,-1,2,4,1.03,18,1
"2737","P0057",13,"12:07:02",2.4,-0.1,0,2.3,1.03,18,1
"2738","P0057",14,"12:07:12",2.3,-0.1,0,2.2,1.03,18,1
"2739","P0045",2,"12:07:20",4,-1,0,3,1.03,18,1
"2740","P0057",15,"12:07:27",2.2,-0.1,0,2.1,2.03,12,1
"2741","P0436",1,"12:07:34",3,-1,3,5,2.03,12,1
"2742","P0732",1,"12:07:36",3,-1,2,4,1.03,18,1
"2743","P0057",16,"12:07:38",2.1,-0.1,0,2,2.03,12,1
"2744","P0057",17,"12:07:48",2,-0.1,0.3,2.2,2.03,12,1
"2745","P0732",2,"12:07:49",4,-1,2,5,1.03,18,1
