"pptid","Condition","Match","Bet.Category","Subcategory","Bet.Description","Stake","Potential.Payout"
"F.0538","Treatment","Everton vs Liverpool","First Goalscorer","Away","Mohamed Salah",0.5,2.1
"F.0566","Treatment","Leicester vs Aston Villa","90 Minutes","Home","Leicester",3,5.4
"F.0659","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.0443","Control","Leeds vs Wolves","Correct Score","Draw","3--3",0.5,28
"F.0443","Control","Everton vs Liverpool","Correct Score","Home","2--1",0.5,6.5
"F.1285","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.0504","Control","Everton vs Liverpool","90 Minutes","Home","Everton",3,11.7
"F.0665","Control","Tottenham vs West Ham","90 Minutes","Home","Tottenham",3,4.71
"F.0994","Treatment","Everton vs Liverpool","First Goalscorer","Away","Mohamed Salah",1,4.2
"F.0994","Treatment","Everton vs Liverpool","Correct Score","Away","1--2",1,8
"F.1236","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",3,4.71
"F.0047","Treatment","Leeds vs Wolves","90 Minutes","Home","Leeds",1,2.6
"F.0342","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.0813","Treatment","Tottenham vs West Ham","Correct Score","Away","2--3",1,41
"F.0813","Treatment","Leeds vs Wolves","First Goalscorer","Home","Patrick Bamford",1,6
"F.0813","Treatment","Tottenham vs West Ham","90 Minutes","Away","West Ham",1,5.8
"F.0482","Treatment","Everton vs Liverpool","90 Minutes","Away","Liverpool",1.5,2.78
"F.0482","Treatment","Leicester vs Aston Villa","90 Minutes","Away","Aston Villa",1.5,6.5
"F.0071","Treatment","West Brom vs Burnley","90 Minutes","Home","West Brom",0.1,0.25
"F.0071","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",0.2,0.31
"F.0071","Treatment","Leeds vs Wolves","90 Minutes","Home","Leeds",0.25,0.65
"F.0071","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",0.5,0.75
"F.1166","Control","Newcastle vs Man Utd","Correct Score","Home","2--1",0.5,7.5
"F.0218","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1,1.57
"F.0218","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",2,3
"F.0025","Control","Everton vs Liverpool","90 Minutes","Away","Liverpool",3,5.55
"F.0354","Treatment","Crystal Palace vs Brighton","90 Minutes","Draw","Draw",1,3.2
"F.0585","Treatment","Leicester vs Aston Villa","Correct Score","Draw","2--2",0.5,6
"F.0585","Treatment","Tottenham vs West Ham","Correct Score","Home","4--0",0.5,11.5
"F.0585","Treatment","Everton vs Liverpool","Correct Score","Away","1--3",0.5,6
"F.0933","Control","Newcastle vs Man Utd","90 Minutes","Home","Newcastle",1.5,7.5
"F.0933","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1.5,2.25
"F.0134","Control","Everton vs Liverpool","Correct Score","Home","3--1",3,78
"F.0326","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.1153","Control","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1.5,2.36
"F.1153","Control","Crystal Palace vs Brighton","90 Minutes","Home","Crystal Palace",1,2.7
"F.1153","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",0.5,0.75
"F.0893","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1,1.57
"F.0893","Treatment","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",1,1.67
"F.0893","Treatment","Leeds vs Wolves","90 Minutes","Home","Leeds",1,2.6
"F.0822","Control","Everton vs Liverpool","Correct Score","Draw","1--1",1,7
"F.0135","Control","Sheffield Utd vs Fulham","90 Minutes","Home","Sheffield Utd",3,6.3
"F.0213","Control","Chelsea vs Southampton","Correct Score","Home","1--0",0.5,4.5
"F.0213","Control","Chelsea vs Southampton","Correct Score","Home","2--0",1.5,12
"F.0213","Control","Chelsea vs Southampton","Correct Score","Home","2--1",1,7.5
"F.0537","Control","West Brom vs Burnley","90 Minutes","Draw","Draw",0.15,0.5
"F.0537","Control","Newcastle vs Man Utd","90 Minutes","Home","Newcastle",0.2,1
"F.0537","Control","Crystal Palace vs Brighton","90 Minutes","Draw","Draw",0.3,0.96
"F.0537","Control","Leeds vs Wolves","Correct Score","Draw","3--3",0.1,5.6
"F.0537","Control","Sheffield Utd vs Fulham","90 Minutes","Home","Sheffield Utd",0.5,1.05
"F.0537","Control","Tottenham vs West Ham","90 Minutes","Draw","Draw",0.25,1.05
"F.0537","Control","Chelsea vs Southampton","90 Minutes","Away","Southampton",0.15,0.98
"F.0537","Control","Man City vs Arsenal","Correct Score","Draw","2--2",0.1,1.5
"F.0537","Control","Leicester vs Aston Villa","First Goalscorer","Home","Jamie Vardy",0.25,0.83
"F.0537","Control","Everton vs Liverpool","90 Minutes","Away","Liverpool",0.5,0.93
"F.0902","Treatment","Man City vs Arsenal","90 Minutes","Away","Arsenal",3,22.5
"F.0327","Treatment","Everton vs Liverpool","Correct Score","Away","1--2",0.5,4
"F.0327","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1,1.57
"F.1083","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1,1.57
"F.1083","Treatment","West Brom vs Burnley","90 Minutes","Away","Burnley",1,2.88
