Duration (in seconds),Q60_Page Submit,control1,Q80_Page Submit,control2,Q82_Page Submit,control3,Q84_Page Submit,control4,Q86_Page Submit,control5,Q88_Page Submit,control6,Q90_Page Submit,control7,Q92_Page Submit,control8,Q94_Page Submit,control9,Q58_Page Submit,warning1,Q64_Page Submit,warning2,Q66_Page Submit,warning3,Q68_Page Submit,warning4,Q70_Page Submit,warning5,Q72_Page Submit,warning6,Q74_Page Submit,warning7,Q76_Page Submit,warning8,Q78_Page Submit,warning9,pgsi1,pgsi2,pgsi3,pgsi4,pgsi5,pgsi6,pgsi7,pgsi8,pgsi9,gender,gendertext,age,freq,fan,comments,PROLIFIC_PID,ordercontrol,orderwarning
165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.742,1,4.102,0,3.606,0,3.022,0,3.506,0,4.166,0,2.514,1,9.446,0,37.81,0,0,0,0,0,0,0,0,0,0,2,NA,35,5,3,NA,ace1d07a5f57cfc03fc0bfe020de2a660819682cad59a0df34ed502e8b02bb40,NA,warning9|warning1|warning7|warning4|warning8|warning6|warning5|warning3|warning2
123,3.516,1,4.614,0,5.511,0,3.171,1,2.867,0,4.421,0,8.308,0,22.399,0,7.045,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,0,1,2,1,NA,35,100,3,NA,f86396c3fa81293d88a64511c4a3b8c0620f30e612dd7cad6eb29b6528270270,control8|control3|control9|control7|control2|control6|control1|control5|control4,NA
137,3.159,1,4.203,1,3.077,0,22.78,1,14.737,0,3.147,0,2.989,1,7.086,1,6.962,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,2,NA,32,3,3,NA,e31ac19be27582cbe06708a398135defcc7062e6d43afd7f16742c7f47b88e33,control5|control9|control4|control6|control2|control3|control8|control1|control7,NA
160,27.761,0,6.347,0,3.523,1,9.236,0,4.717,0,4.343,0,3.985,0,7.966,0,4.608,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,2,NA,29,50,3,NA,7fe4399878b69d8cf126fec424896caab9d5a8fbdc484fa10723475fdb4f794f,control1|control8|control7|control6|control9|control2|control4|control5|control3,NA
163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.694,0,5.418,0,4.45,0,3.709,0,5.658,0,37.465,0,3.725,0,6.097,0,7.048,0,0,1,1,0,0,0,0,0,1,2,NA,24,30,3,NA,ceed88ce242ea49b110de1f43d6fae9cba2d504ddbfa470f7e40ec796aaa92dd,NA,warning6|warning1|warning5|warning7|warning8|warning2|warning3|warning9|warning4
308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.727,1,15.917,0,12.177,0,58.755,1,6.909,0,31.635,0,6.709,1,8.9,1,8.177,0,0,0,0,0,0,0,0,0,1,2,NA,31,5,3,a rather enjoyable survey!,1fac110990b4d68b37e51a2df420ef1d06fbb36abb9f794783df7bb1a5211bfd,NA,warning4|warning2|warning1|warning6|warning8|warning9|warning7|warning3|warning5
538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.169,0,87.544,0,4.958,1,8.245,1,13.866,0,8.301,0,7.218,0,6.662,1,7.096,1,1,1,2,0,0,1,0,0,1,2,NA,24,50,3,NA,6b14d1c2075fa42db746e6aa3abdedbcbab3e10c3f65aa1ff5a750166f9adbd5,NA,warning2|warning5|warning6|warning4|warning8|warning7|warning9|warning3|warning1
167,5.447,0,9.614,0,7.346,0,19.828,1,5.28,0,11.003,0,6.744,1,5.516,1,8.207,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,1,0,1,1,NA,29,50,3,None,e96f87d946e98a639d8600735ec538d15c359bd2ef676a67de6d6b15e4d4cfa2,control4|control2|control8|control6|control3|control7|control5|control9|control1,NA
240,9.071,1,12.731,0,10.893,0,9.971,0,78.279,1,6.8,0,6.218,1,7.955,0,6.045,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,2,NA,49,300,3,NA,f4e6425c4059ce273510883a8a91b6216d2c770b744a7dbe2badf60375f3fc1c,control5|control8|control2|control4|control1|control3|control9|control6|control7,NA
303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.647,1,3.55,0,3.608,0,4.935,0,4.508,0,4.961,0,5.735,0,6.48,1,10.325,0,1,2,2,0,2,1,1,1,1,2,NA,24,300,3,NA,c1567a2c837ae0c7af562e7f207c2c644b83827e2aaa8cd53e6d87d11a26db07,NA,warning1|warning6|warning9|warning5|warning7|warning2|warning3|warning8|warning4
110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.585,1,8.7,1,3.19,1,3.014,1,2.726,0,2.361,1,8.719,1,14.233,1,3.394,1,0,0,0,0,0,0,0,0,0,2,NA,29,5,3,NA,ff20c2d173089aa9a472f895b7d3bb73786d5bc4cf2b58fc55d0099cdbc8d6de,NA,warning8|warning7|warning1|warning4|warning3|warning6|warning9|warning5|warning2
121,2.475,1,1.708,0,24.616,0,7.42,1,3.156,0,3.63,0,4.259,0,10.513,1,2.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,1,NA,21,3,1,NA,f142215371a3605b0d7dfca536b8f5f82ecca29e9b0920b094c0ed729a6b0844,control3|control4|control6|control8|control7|control5|control1|control9|control2,NA
222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.869,1,10.843,1,29.043,0,6.031,0,5.124,0,4.334,0,6.344,0,6.272,0,6.658,0,0,0,0,0,0,0,0,0,0,1,NA,39,250,3,NA,625190d9aac93d71a49e97e722c279f2d810b2d9425dfbaf0625e403ac7757f5,NA,warning2|warning3|warning9|warning8|warning1|warning4|warning5|warning6|warning7
204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.999,0,6.494,0,14.336,1,3.739,0,23.991,0,53.953,0,6.431,0,7.86,0,10.427,0,0,0,0,0,0,0,0,0,0,2,NA,27,2,3,NA,800874b337855c6a54fe545f5bbc7a8d3931e7836a753908a82116cb7d8e7025,NA,warning6|warning5|warning1|warning9|warning2|warning3|warning8|warning7|warning4
143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.167,1,3.333,1,3.618,1,3.414,1,3.257,1,2.242,1,3.17,1,11.906,1,16.746,1,1,0,0,0,0,0,0,0,0,1,NA,30,1,3,NA,80659c4b7940eee6b760bdf4e7dd7af2c5140a8fc38a74b357389a2be7c79826,NA,warning9|warning2|warning1|warning4|warning3|warning8|warning6|warning5|warning7
270,6.034,1,5.806,0,4.094,0,3.886,0,25.988,0,7.764,1,17.778,1,11.215,0,30.494,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,1,2,NA,47,40,1,thankyou,fd1160b9f90eea8ddb675e533ac2738b3f62b5b1218cd6612158b08589825982,control9|control8|control6|control7|control4|control1|control3|control5|control2,NA
317,4.164,1,56.726,0,17.929,0,4.42,1,6.188,0,22.379,1,5.167,1,9.643,1,5.325,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,NA,26,85,1,NA,908d0085f6cff5433f12f8eb55055a8bca5d3e57e3c025b37f5c08bc93a25edf,control3|control6|control8|control9|control2|control1|control7|control5|control4,NA
152,2.937,1,2.787,0,3.499,0,5.499,0,2.877,0,3.111,0,21.646,0,6.028,1,3.461,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,1,NA,35,45,3,NA,117ba2d31f4499516ed57c010ffc85544a1055c9e2c28720e3dab43a014381ba,control7|control3|control4|control1|control5|control2|control9|control6|control8,NA
159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.587,1,3.318,1,3.417,0,6.987,0,38.91,0,8.824,0,15.914,0,6.832,0,3.75,0,0,0,1,0,0,0,0,0,0,1,NA,27,30,3,n/a,8efbc6e57c283ca38bcd0fa5cca2b2317a7bdd40fc36184039825f06627f6ed5,NA,warning5|warning4|warning8|warning9|warning7|warning6|warning2|warning1|warning3
275,10.077,1,7.82,0,4.014,0,20.053,1,3.887,0,3.373,0,93.146,1,9.898,1,8.059,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,2,NA,26,80,3,NA,d64e341f2921ab04d3e23a7c223b2665b6d92cc6b0cae6a837ffd3cbfbae615b,control7|control1|control2|control6|control4|control5|control8|control3|control9,NA
111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.518,0,4.047,0,4.459,0,13.039,1,5.463,0,2.658,0,3.998,1,3.628,1,4.582,1,2,3,3,2,3,3,3,1,3,2,NA,22,25,3,NA,7a470cdfc5971cdb1f3b64cdb7bfb00d9fdfaef0595b80d241712c0cd2ae2653,NA,warning4|warning5|warning2|warning3|warning9|warning7|warning8|warning6|warning1
368,9.608,1,6.969,1,12.713,1,18.819,1,5.876,1,7.349,0,55.589,1,6.828,1,77.468,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,NA,44,300,3,NA,58f7b2ad203e339d6881051d34ac1a55b2782b47c5c4815565db29bec9834aaf,control7|control9|control3|control2|control4|control8|control6|control5|control1,NA
158,4.209,0,3.85,0,5.652,0,3.787,0,2.29,0,3.628,0,27.393,0,4.114,0,4.91,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,NA,32,48,3,NA,8dd583421deede4f1629b12e11aa021e01a99eac20b8414e5d0024d0ad5d1cf4,control7|control3|control6|control9|control4|control8|control2|control5|control1,NA
456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.619,1,16.929,0,7.944,0,10.07,0,7.559,0,15.474,0,16.038,0,56.962,0,73.774,0,0,0,1,0,0,0,0,0,1,2,NA,57,120,3,none,ef6a13621039104e6a7a226a1eeb614dc3a66c1b7fe9b6a08757b29e654328e2,NA,warning9|warning6|warning2|warning7|warning1|warning5|warning3|warning4|warning8
159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.537,0,47.041,0,4.076,0,7.71,0,10.265,0,3.858,0,6.275,0,6.259,0,9.518,0,0,0,0,0,0,0,0,0,0,1,NA,26,3,3,NA,70ac52361f3e43f24ffc625967421a197a7df9ee27678cd9bf6b559e6a5f8c28,NA,warning2|warning5|warning9|warning7|warning1|warning6|warning8|warning4|warning3
143,4.274,1,22.144,0,8.981,0,4.83,0,3.275,0,4.476,0,4.556,0,6.479,0,3.201,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,1,1,1,0,2,2,NA,30,175,3,NA,51d75727a9f3ec6757c53c5be338478f661744c978f61b52df8f199a9bbdb765,control2|control3|control6|control7|control1|control5|control4|control9|control8,NA
192,15.03,1,15.698,0,4.073,0,5.135,1,4.995,0,12.611,0,11.217,0,8.336,0,10.861,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,NA,39,100,1,I like to bet on Football however this is a monthly treat,886692dcf3129361bea7276fe4fdf45c3537dc9f09e31883734bd320f069bc49,control2|control7|control9|control6|control4|control3|control8|control5|control1,NA
219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.431,1,5.184,1,3.168,0,5.978,0,5.225,0,9.469,0,3.165,1,10.615,0,26.441,1,1,0,1,0,0,0,0,0,0,2,NA,27,24,3,"Whilst I havent experienced gambling addiction myself, I do think more can be done to help those who do",91a33484a6308e9d688956e40731eee31dfbf03348f3ca4c4c20c48b151d93af,NA,warning9|warning2|warning6|warning3|warning4|warning8|warning1|warning5|warning7
231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.748,0,4.704,0,3.502,0,34.17,0,5.494,0,4.568,0,5.609,0,7.163,0,24.7,0,0,0,0,0,0,0,0,0,0,1,NA,45,150,3,I wish I had take the bet that was to win £15 with Gerauld scoring first etc. I didn't realise I wouldn't be able to go back to it!,f056eb01c9178d2de5496b176c38a5992339ef5ee050c69d8a300bc706973fd9,NA,warning4|warning9|warning7|warning5|warning6|warning1|warning8|warning2|warning3
331,44.777,0,12.437,1,24.655,1,24.979,0,7.172,0,21.456,0,10.287,0,14.698,0,9.824,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,2,NA,55,50,3,no comments thank you,8298a8e8cc3d3bde1a803d2c573b8466e6ab75d720c0faeabe7db165403da5f1,control1|control4|control6|control3|control8|control2|control7|control5|control9,NA
183,4.001,1,3.454,1,4.891,1,8.053,1,5.875,1,18.402,1,17.601,1,8.073,1,6.601,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,2,NA,33,9,2,NA,db3709f458ade8450961922dff8c436fac0aa95724c45c1ebf9adc4650d5b573,control6|control7|control4|control1|control3|control9|control5|control8|control2,NA
384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.603,0,7.166,0,10.488,0,18.24,0,10.345,0,75.988,0,10.219,0,12.984,0,55.748,0,1,0,1,0,0,0,1,1,1,2,NA,45,80,1,NA,f6076888c66d59fcca2a4183c21a2613dd4ceda744ec0c34d57fcd8212967123,NA,warning6|warning9|warning5|warning4|warning7|warning3|warning8|warning2|warning1
166,2.298,1,5.951,0,2.843,0,3.226,1,13.161,0,2.981,0,9.984,1,48.566,0,4.088,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,NA,36,76,3,NA,40a0d0dcac6af1287635eeda5175b4aadf705f71999a8d866e5ee847e72c22e4,control8|control7|control5|control9|control4|control3|control2|control1|control6,NA
200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.465,0,5.002,0,4.344,0,5.728,0,11.846,0,17.494,0,3.24,1,14.463,0,14.216,0,0,0,0,0,0,0,0,0,0,2,NA,30,20,3,Thank you,803bc15e7b240cda5598323fa2831021111ec11ccaf4a024a45ece64b97fb90e,NA,warning6|warning9|warning5|warning4|warning1|warning8|warning3|warning2|warning7
296,16.43,1,15.688,1,13.674,1,9.37,1,9.526,1,8.09,1,8.686,1,45.648,1,19.758,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,2,NA,53,100,3,NA,c4d5bc194aaa1c8fe52d0c699d73ca936aeca9ba63d3abdc2aa18ce780b43e46,control8|control9|control2|control4|control5|control3|control1|control7|control6,NA
237,7.677,1,5.952,0,14.824,0,35.055,0,5.273,0,42.94,0,4.571,1,29.534,1,6.63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,2,NA,44,15,3,NA,41c0981cd6de6d8f927e41c29fa1fb49fa11ac326f13d92ae2e913b4a4ab6f42,control6|control2|control4|control1|control8|control5|control7|control3|control9,NA
286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.367,1,7.128,0,3.947,0,47.974,0,4.428,0,12.4,0,7.998,1,7.396,0,4.52,0,1,0,1,0,0,0,0,0,1,1,NA,21,75,3,NA,cfe06f2d796a3f0cb9e33f4694f6ee62daa44527bf795d385d99269d8c85b6cc,NA,warning4|warning6|warning1|warning3|warning8|warning9|warning7|warning2|warning5
330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.096,1,58.591,0,24.363,0,12.178,0,17.982,0,8.606,0,9.998,0,18.483,0,9.184,0,2,0,0,0,0,0,0,0,0,1,NA,35,40,3,good,cf4de63c62f1f9d1f6f275ac138c10ea58fb13c8c510e6a90b10b742f991e45e,NA,warning2|warning3|warning1|warning4|warning6|warning8|warning5|warning9|warning7
175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.611,0,4.238,0,2.892,0,3.258,1,34.932,0,3.954,0,4.846,1,9.72,0,5.709,0,0,0,0,0,0,0,0,0,0,2,NA,41,169,3,All good,2b4013d9ca56375649f17e503b390b8cb7d37f8feff72843fedcff88f9e855de,NA,warning5|warning8|warning9|warning6|warning2|warning1|warning3|warning4|warning7
294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.22,1,13.447,0,8.13,1,15.633,1,9.288,0,11.646,1,8.175,0,5.682,0,11.354,0,0,0,1,0,0,0,0,0,0,2,NA,46,5,3,NA,960618574660f0664c6ca8fa46bab92936eb7ad2329d65bc3887b6931413193e,NA,warning1|warning4|warning9|warning5|warning3|warning6|warning2|warning8|warning7
267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.427,0,9.144,0,5.069,0,6.765,0,5.134,0,4.037,0,7.6,0,11.666,0,54.827,0,0,0,1,0,0,0,0,0,0,2,NA,35,170,3,It was a very interesting survey. I would have liked a few more options to bet on like over/under corners or goals or maybe even a match goal handicap,3e47bd0b050a3efacc0f93cc8ba8841fb173fbc71195a5a53cf4ff95fc01da7f,NA,warning9|warning8|warning6|warning5|warning7|warning3|warning2|warning4|warning1
302,5.072,0,9.313,0,12.285,0,6.76,0,8.102,0,40.768,0,7.058,0,13.118,0,21.23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,NA,43,25,3,NA,7b300fc4eaab49de642ef8c6be2e237ded254209f7eefc6042819b480485d8eb,control6|control8|control7|control4|control9|control2|control5|control3|control1,NA
199,7.045,1,4.271,0,7.562,1,60.1,1,8.491,1,4.047,0,7.006,1,5.359,0,6.115,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,2,NA,29,24,3,GOOD SURVEY,7916ba188f1fd18ca2c57ff86c36d761872616aaadb1df2e9aa83425696bbd00,control4|control5|control1|control9|control7|control6|control3|control2|control8,NA
365,8.363,1,16.622,0,9.343,0,11.017,1,19.704,0,9.217,0,30.532,1,13.744,1,86.29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,NA,24,5,3,NA,7a513c328e9a9be62534343f63762587530d2ceca562fefe8d4b2b8dffc69096,control9|control7|control4|control2|control5|control1|control3|control6|control8,NA
113,4.606,0,4.032,0,3.024,0,31.005,0,3.614,0,3.44,0,7.539,0,6.437,0,5.297,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,2,NA,34,6,3,NA,744ceabdefa0bcc627110d50e406f50076a4254b7c05f893fbb98cc626932138,control4|control7|control1|control8|control2|control9|control6|control5|control3,NA
138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.391,1,3.883,1,2.708,0,3.696,0,4.57,0,3.175,1,6.119,1,10.724,0,32.325,0,0,0,0,0,0,0,0,0,0,2,NA,44,7,3,NA,bf9c9ff0441ee71948a74a58a83f67ca158f0f0765b2fa509da1810ff81f186f,NA,warning9|warning7|warning1|warning5|warning8|warning6|warning2|warning3|warning4
371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.632,1,15.158,0,15.875,0,16.447,1,6.878,0,11.657,0,87.784,1,22.521,0,22.918,1,0,0,0,0,0,0,0,0,0,2,NA,25,50,3,NA,e3755bfdd0e6b2a3022f272aeb02bb8e7aad004f5ddc04f256ec6e44dd831487,NA,warning7|warning8|warning2|warning9|warning4|warning5|warning1|warning3|warning6
